accountId,creditCompleteDate,creditCompleteMonth,creditRail,detailCategory,detailSource,estRevenue,fundingMethodUsed,initiatorStatus,isFasterAch,isRTP,partner,partnerGroupSource,payeeAmount,payeeAmountCurrency,payeeBusinessName,payeeCcy,payeeCountry,payeeEmail,payeeFunding,payerBusinessName,payerCcy,payerCountry,payerEmail,payerFunding,paymentId,paymentType,paymentUsdEquivalentAmount,period,processingMethod,speedFlag,submissionDate,transactionProcessingMethodRaw,txnType,txnTypeRaw,typeDefn,usdAmountDebited
1781972,2026-04-01T20:13:52,2026-04,SVBAuto,transaction,offline_billing,17.8,Bank,,False,False,Maplewave,Maplewave,7770.0,EUR,Hijos de Cipriano Castello Alfonso S.L.,EUR,ES,hijosdecipriano-eur@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7189560,payment,8901.16,2026-04,Wire,Standard,2026-03-30T00:00:00,Wire,FX,FX,,8918.97
1781972,2026-04-03T09:18:41,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,10000.0,USD,AL-Rehab Group for Export,USD,EG,alrehabgroup-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7194501,payment,10000.0,2026-04,Wire,Standard,2026-03-31T00:00:00,Wire,USD Abroad,USD Abroad,,10000.0
1781972,2026-04-03T16:15:37,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,35000.0,USD,MT Plastik Ticaret Ltd. Sti.,USD,TR,mtplastikticaret-USD@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7194503,payment,35000.0,2026-04,Wire,Standard,2026-03-31T00:00:00,Wire,USD Abroad,USD Abroad,,35000.0
1781972,2026-04-04T18:35:27,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,24375.0,USD,ElSwedy for Export and Supplies,USD,EG,elswedyforexport-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7205460,payment,24375.0,2026-04,Wire,Standard,2026-04-01T00:00:00,Wallet,USD Abroad,USD Abroad,,24375.0
1781972,2026-04-04T18:35:28,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,200000.0,USD,ElSwedy for Export and Supplies,USD,EG,elswedyforexport-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7205462,payment,200000.0,2026-04,Wire,Standard,2026-04-01T00:00:00,Wallet,USD Abroad,USD Abroad,,200000.0
1781972,2026-04-04T18:35:29,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,87500.0,USD,ElSwedy for Export and Supplies,USD,EG,elswedyforexport-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7205463,payment,87500.0,2026-04,Wire,Standard,2026-04-01T00:00:00,Wallet,USD Abroad,USD Abroad,,87500.0
1781972,2026-04-04T18:35:30,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,44550.0,USD,ElSwedy for Export and Supplies,USD,EG,elswedyforexport-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7205464,payment,44550.0,2026-04,Wire,Standard,2026-04-01T00:00:00,Wallet,USD Abroad,USD Abroad,,44550.0
1781972,2026-04-02T17:17:33,2026-04,CITI,transaction,offline_billing,299.09,Bank,,False,False,Maplewave,Maplewave,23850500.0,JPY,Autocom Japan Inc. - Yen,JPY,JP,autocomjapaninc-yen@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7208299,payment,149542.64,2026-04,Wire,Standard,2026-04-02T00:00:00,Wallet,FX,FX,,149758.05
1781972,2026-04-02T17:17:34,2026-04,CITI,transaction,offline_billing,912.92,Bank,,False,False,Maplewave,Maplewave,72800500.0,JPY,Autocom Japan Inc. - Yen,JPY,JP,autocomjapaninc-yen@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7208284,payment,456459.14,2026-04,Wire,Standard,2026-04-02T00:00:00,Wire,FX,FX,,457043.1
1781972,2026-04-02T17:17:35,2026-04,CITI,transaction,offline_billing,38.71,Bank,,False,False,Maplewave,Maplewave,3087000.0,JPY,DVM.KK Japan,JPY,JP,dvmkk-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7208286,payment,19355.49,2026-04,Wire,Standard,2026-04-02T00:00:00,Wallet,FX,FX,,19380.25
1781972,2026-04-03T16:15:57,2026-04,SVBAuto,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,21000.0,USD,Golden Toad Co. Ltd.,USD,KR,goldentoad-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7208298,payment,21000.0,2026-04,Wire,Standard,2026-04-02T00:00:00,Wire,USD Abroad,USD Abroad,,21000.0
1781972,2026-04-03T18:20:35,2026-04,CITI,transaction,offline_billing,609.32,Bank,,False,False,Maplewave,Maplewave,48590000.0,JPY,Autocom Japan Inc. - Yen,JPY,JP,autocomjapaninc-yen@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7209896,payment,304659.3,2026-04,Wire,Standard,2026-04-02T00:00:00,Wire,FX,FX,,305504.15
1781972,2026-04-03T18:20:36,2026-04,CITI,transaction,offline_billing,20.06,Bank,,False,False,Maplewave,Maplewave,1600000.0,JPY,Mark Co. LTD,JPY,JP,markcoltd-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7209897,payment,10032.0,2026-04,Wire,Standard,2026-04-02T00:00:00,Wallet,FX,FX,,10059.82
1781972,2026-04-03T18:20:37,2026-04,CITI,transaction,offline_billing,37.62,Bank,,False,False,Maplewave,Maplewave,3000000.0,JPY,SAIF TRADING CO LTD - Yen,JPY,JP,saiftradingcoltd-yen@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7209899,payment,18810.0,2026-04,Wire,Standard,2026-04-02T00:00:00,Wallet,FX,FX,,18862.16
1781972,2026-04-03T18:20:38,2026-04,CITI,transaction,offline_billing,2.96,Bank,,False,False,Maplewave,Maplewave,236000.0,JPY,Best Wheels Japan,JPY,JP,bestwheelsjapan-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7209901,payment,1479.72,2026-04,Wire,Standard,2026-04-02T00:00:00,Wire,FX,FX,,1483.82
1781972,2026-04-03T18:20:39,2026-04,CITI,transaction,offline_billing,5.92,Bank,,False,False,Maplewave,Maplewave,472000.0,JPY,Best Wheels Japan,JPY,JP,bestwheelsjapan-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7209903,payment,2959.44,2026-04,Wire,Standard,2026-04-02T00:00:00,Wallet,FX,FX,,2967.65
1781972,2026-04-03T18:20:40,2026-04,CITI,transaction,offline_billing,28.14,Bank,,False,False,Maplewave,Maplewave,2244000.0,JPY,SBT Co. Ltd. - 6,JPY,JP,sbtcoltd6-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7209900,payment,14069.88,2026-04,Wire,Standard,2026-04-02T00:00:00,Wire,FX,FX,,14108.9
1781972,2026-04-03T19:18:30,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,30625.52,EUR,Pamesa Ceramica Compactto S.L.U.,EUR,ES,pamesaceramica-eur@maplewave.bene,Bank,"Maplewave Payments, Inc.",EUR,CA,support@maplewave.money,Wallet,7209034,payment,35324.7,2026-04,Wire,Standard,2026-04-02T00:00:00,IACH,FX,FX,,30625.52
1781972,2026-04-05T19:14:11,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,49936.44,USD,Sonuk Star Makina Anonim Sirketi,USD,TR,sonukstarmakina-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7215346,payment,49936.44,2026-04,Wire,Standard,2026-04-03T00:00:00,Wallet,USD Abroad,USD Abroad,,49936.44
1781972,2026-04-05T19:14:12,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,49936.44,USD,Sonuk Star Makina Anonim Sirketi,USD,TR,sonukstarmakina-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7215347,payment,49936.44,2026-04,Wire,Standard,2026-04-03T00:00:00,Wallet,USD Abroad,USD Abroad,,49936.44
1781972,2026-04-06T15:13:48,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,81000.0,USD,Rivulis Plastro Ltd,USD,IL,rivulisplastro-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7215343,payment,81000.0,2026-04,Wire,Standard,2026-04-03T00:00:00,Wire,USD Abroad,USD Abroad,,81000.0
1781972,2026-04-06T15:13:49,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,69227.08,USD,Rivulis Plastro Ltd,USD,IL,rivulisplastro-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7215345,payment,69227.08,2026-04,Wire,Standard,2026-04-03T00:00:00,Wire,USD Abroad,USD Abroad,,69227.08
1781972,2026-04-07T12:17:10,2026-04,CITI,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,15659.32,EUR,SDM Inc.,EUR,MT,sdminceur@maplewave.bene,Bank,"Maplewave Payments, Inc.",EUR,CA,support@maplewave.money,Wallet,7215825,payment,18044.55,2026-04,Wire,Standard,2026-04-03T00:00:00,IACH,FX,FX,,15659.32
1781972,2026-04-07T20:16:40,2026-04,SVBAuto,transaction,offline_billing,0.0,Bank,,False,False,Maplewave,Maplewave,8435.0,USD,Foshan YXH Import and Export Co. Ltd.,USD,SG,foshanyxh-usd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7226248,payment,8435.0,2026-04,Wire,Standard,2026-04-06T00:00:00,Wallet,USD Abroad,USD Abroad,,8435.0
