detailCategory,detailSource,partner,period,paymentId,txnType,speedFlag,processingMethod,payerFunding,payeeFunding,payerCcy,payeeCcy,payerCountry,payeeCountry,accountId,paymentType,submissionDate,creditCompleteDate,creditCompleteMonth,payerEmail,payerBusinessName,payeeEmail,payeeBusinessName,creditRail,transactionProcessingMethodRaw,fundingMethodUsed,payeeAmountCurrency,payeeAmount,usdAmountDebited,paymentUsdEquivalentAmount,estRevenue,txnTypeRaw,isRTP,isFasterAch,partnerGroupSource,initiatorStatus,typeDefn
transaction,offline_billing,Maplewave,2026-02,6982568,FX,Standard,Wire,Wallet,Bank,USD,EUR,CA,IE,1781972,payment,2026-02-17,2026-02-18,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",plutusiqgroupltd@maplewave.bene,Plutus IQ Group Limited,CITI,Wallet,Bank,EUR,83873,99250,99250,198.5,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6958907,FX,Standard,Wire,Wallet,Bank,USD,THB,CA,TH,1781972,payment,2026-02-11,2026-02-21,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",originresidences@maplewave.bene,ORIGIN CONDO BANGTAO 2 CO. LTD.,CITI,,Bank,THB,2000000,65337.45,64400,946.68,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6936867,Domestic,Standard,ACH,Wallet,Bank,USD,USD,CA,US,1781972,payment,2026-02-06,2026-02-06,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",maplewaveus@maplewave.bene,Maplewave Payments Inc,CITI,Wallet,Bank,USD,986716.4,986716.4,986716.4,0,Domestic,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6964346,Domestic,Standard,ACH,Wallet,Bank,USD,USD,CA,US,1781972,payment,2026-02-12,2026-02-14,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",fortluftinc@maplewave.bene,Fortluft Inc,CITI,Wallet,Bank,USD,30000,30000,30000,0,Domestic,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6982606,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,MY,1781972,payment,2026-02-17,2026-02-19,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",etctechnology@maplewave.bene,ETC Technology Malaysia SDN BHD,CITI,Wallet,Bank,USD,88112,88112,88112,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,7025340,Domestic,RTP,RTP,Wallet,Bank,USD,USD,CA,US,1781972,payment,2026-02-25,2026-02-25,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",maplewaveus@maplewave.bene,Maplewave Payments Inc,CITI,Wallet,Bank,USD,49980,50000,50000,20,Domestic,true,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6952676,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,AE,1781972,payment,2026-02-10,2026-02-13,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",thtfzco@maplewave.bene,THT FZCO,CITI,Wallet,Bank,USD,169670,169670,169670,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,7002737,EUR Domestic,Standard,ACH,Wallet,Bank,EUR,EUR,CA,IT,1781972,payment,2026-02-20,2026-02-23,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",masierosrl@maplewave.bene,Masiero SRL,CITI,Wallet,Bank,EUR,127065.15,127065.15,149696.72,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6935229,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,TR,1781972,payment,2026-02-06,2026-02-09,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",hanmarturizm@maplewave.bene,HANMAR TURIZM MADENCILIK PAZARLAMA SANAYI VE TICARET LIMITED SIRKETI,CITI,Wallet,Bank,USD,11903,11903,11903,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-02,6958906,FX,Standard,Wire,Wallet,Bank,USD,THB,CA,TH,1781972,payment,2026-02-11,2026-02-21,2026-02,support@maplewave.money,"Maplewave Payments, Inc.",originresidences@maplewave.bene,ORIGIN CONDO BANGTAO 2 CO. LTD.,CITI,Wire,Bank,THB,1000000,32892.39,32190,688.87,FX,false,false,Maplewave,,
